R7,1月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,
1,日替定食,,,,,,,,,✕,24,,,,20,26,22,
2,日替丼,,,,,,,,,✕,✕,,,,✕,✕,✕,
4,カレー,,,,,,,,,5,5,,,,1,0,6,
5,カツカレー,,,,,,,,,0,0,,,,8,✕,✕,
6,ハヤシライス,,,,,,,,,0,0,,,,0,✕,✕,
8,やきめし,,,,,,,,,0,0,,,,0,✕,✕,
9,醤油ラーメン,,,,,,,,,3,1,,,,3,0,2,
10,醤油ラーメン（大盛）,,,,,,,,,4,8,,,,7,4,1,
11,豚骨ラーメン,,,,,,,,,4,3,,,,1,2,4,
12,豚骨ラーメン（大盛）,,,,,,,,,5,1,,,,6,2,2,
13,チャーシュー醤油,,,,,,,,,1,1,,,,0,0,0,
14,チャーシュー豚骨,,,,,,,,,2,0,,,,0,0,1,
15,ラーメンセットミニ炒飯醤油,,,,,,,,,0,0,,,,0,0,0,
16,ラーメンセットミニ炒飯豚骨,,,,,,,,,0,0,,,,0,0,0,
17,かけうどん,,,,,,,,,2,3,,,,1,1,3,
18,天ぷらうどん,,,,,,,,,0,1,,,,0,1,2,
19,カレーうどん,,,,,,,,,4,1,,,,1,0,2,
20,肉うどん,,,,,,,,,13,4,,,,8,3,11,
21,うどんセット,,,,,,,,,4,1,,,,1,3,4,
23,ラーメンセットミニカレー醤油,,,,,,,,,2,4,,,,3,5,2,
24,ラーメンセットミニカレー豚骨,,,,,,,,,5,4,,,,4,3,2,
25,かけそば,,,,,,,,,0,1,,,,0,0,2,
26,天ぷらそば,,,,,,,,,0,1,,,,0,0,0,
27,カレーそば,,,,,,,,,0,0,,,,0,0,0,
28,肉そば,,,,,,,,,2,1,,,,0,1,2,
29,そばセット,,,,,,,,,0,1,,,,0,0,0,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,0,0,0,0,0,0,0,56,65,0,0,0,64,51,68,
,,,,,,,,,,,,,,,,,,
R7,1月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
,,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,,
1,日替定食,29,,,✕,18,20,30,23,,,✕,24,✕,,,,
2,日替丼,✕,,,19,✕,✕,✕,✕,,,19,✕,24,,,,
4,カレー,6,,,1,1,5,8,5,,,4,1,4,,,,
5,カツカレー,✕,,,✕,11,✕,✕,✕,,,0,8,✕,,,,
